,entity,author_name,overall_polarity
7892,Jim Dean CLL,Pharmacyclics AbbVie Company,Postive
7893,today Prajish Prajish MayoClinic CLL,Lili Wang Lab,Negative
7894,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7895,ASH Roche Venclexta CLL Venclexta Imbruvica CLL ABBV RHHBY pharma CLL,Helix BioPharma,Postive
7896,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7897,Terry CLL,JanssenUS,Negative
7898,Congrats CLL,Anthony Mato,Postive
7899,Today CLL CLL,Lili Wang Lab,Postive
7900,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7901,Day one Lymphocytic CLL obinutuzumab lanalumab MRD,Prescient Healthcare Group,Negative
7902,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7903,CLL,Seema Ali Bhat,Negative
7904,CLL,Seema Ali Bhat,Negative
7905,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7906,five hundred William Wierda PhD MD Session six hundred CLL,Lisa Palacios,Negative
7907,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7908,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7909,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7910,CLL,HARMONY Alliance,Postive
7911,CLL CLL Celebrating,Jessica Okosun,Postive
7912,one CLL,Toby Eyre,Postive
7913,CLL,Raul Cordoba MD PhD,Negative
7914,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7915,CLL Nicole Lamanna,Kate Cwynarski,Postive
7916,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7920,Andrew Roberts Therapeutic lymsm CLL,Raul Cordoba MD PhD,Negative
7921,CLL,lnshr publisher,Negative
7922,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7923,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7924,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7925,Five Years OncLive December five two thousand and twenty,globalfirstnews,Negative
7926,CLL,MasdelMedio,Negative
7927,Regimen Fixed Duration Treatment Patients Chronic,MasdelMedio,Negative
7928,One Year CLL,MasdelMedio,Negative
7930,five Reuters Abbvie Inc,Towelie,Negative
7931,one CLL Zero IMHO,chadi nabhan MD MBA FACP,Negative
7932,CLL,Seema Ali Bhat,Negative
7933,Presents Extended Data For Fixed Duration Treatment Venclextavenclyxto Venetoclax CLL,Biotech Tech Stock Focus,Negative
7934,first CLL Australia,Pietro Di Ciaccio,Negative
7935,CLLsm,VJHemOnc,Negative
7937,CLL,Cindy Pabon MD,Postive
7938,BTK CLL chaligneRonan AnnaEnim WCMLymphoma Columbiacancer six hundred,Andrew Lipsky,Postive
7939,Janssen CLL,Mark Wildgust,Postive
7940,CAPTIVATE CLL ITT MRD PB MRD MRD,Nitin Jain,Negative
7941,CLL,Chaitra Ujjani MD,Postive
7942,CONGRESS Nicole Lamanna ColumbiaMed DukeCancer CLL CLL,Lymphoma Hub,Negative
7943,Today two three,LYMPHOMA MYELOMA CONNECT,Negative
7944,One Year CLL,NwokeAgulu,Negative
7945,Regimen Fixed Duration Treatment Patients Chronic,IMPharma News,Negative
7946,anthonymatomd tablet CLL Richters,Toby Eyre,Negative
7947,Genentech,Pharmacutical Daily,Negative
7948,Regimen Fixed Duration Treatment Patients Chronic,mednetnews,Negative
7949,CLL one PatientPower,Patient Power,Postive
7950,del mut CLL,Benlazar Amine,Negative
7951,CLL,Benlazar Amine,Negative
7952,del mut CLL,Benlazar Amine,Negative
7953,CLL CLL,WCM Lymphoma,Negative
7954,Ibr twelve four uMRD PB BM uMRD IBR MRD CLL,Toby Eyre,Negative
7955,Mabs CIT CLL,Benlazar Amine,Negative
7956,CLL,Toby Eyre,Negative
7957,CLL,Benlazar Amine,Postive
7958,CLL,Chaitra Ujjani MD,Postive
7959,First CLL,Benlazar Amine,Postive
7960,LRF LRFGrantee Jacob Soumerai ASHTogether,Lymphoma Research Foundation,Negative
7961,CLL Venetoclax Today three pm Piers Blombery CLL,Mission Bio,Negative
7962,four Time twenty four CLL,Krish Patel,Postive
7963,Genentech Announces New Data Reinforcing Benefit Combination People With Relapsed Refractory,Corporate News,Negative
7964,Algorithm CLL,Benlazar Amine,Negative
7965,Algorithm CLL,Benlazar Amine,Negative
7967,five Murano Kater nineteen uMRD PD CLL CLL,Krish Patel,Postive
7968,CLL,Eduardo Flavio Oliveira Ribeiro,Postive
7969,four year GCLLSG Dr CLL,Nitin Jain,Postive
7970,CLL,Benlazar Amine,Postive
7971,MURANO twentyfive month MRD reappearance clinical progression gt MRD two MRD Ven twentyfive month CLL,Mazyar Shadman MD MPH,Postive
7972,CLL,Benlazar Amine,Negative
7973,anthonymatomd discus OncoAlert CLL,VJHemOnc,Negative
7974,Changing Landscape CLL,Benlazar Amine,Negative
7975,Chronic,Company News HQ,Negative
7976,CLL,Hottest Stocks Now,Negative
7977,today CLL,chadi nabhan MD MBA FACP,Postive
7978,Genentech,Parent Security,Negative
7979,Genentech,Gregory Evans,Negative
7980,Today CLL,JanssenUS,Negative
7981,Genentech,Crwe World,Negative
7982,Chronic,Crwe World,Negative
7983,CLL,chadi nabhan MD MBA FACP,Negative
7984,CLL,OTC Dynamics Inc,Negative
7985,RHHBY Genentech,OTC Dynamics Inc,Negative
7986,CLL,Lisa Palacios,Negative
7987,RHHBY ROG,Roche,Postive
7988,Genentech,Stock Market News,Negative
7989,Regimen Fixed Duration Treatment Patients Chronic,Stock Market News,Negative
7990,CLL Captivate RR TAP Clarity,Eduardo Flavio Oliveira Ribeiro,Negative
7991,MURANO CLL,chadi nabhan MD MBA FACP,Negative
7992,Issued Press Release December five CLL,Flash Alert,Negative
7993,RHHBY Genentech,Biotech Tech Stock Focus,Negative
7994,Regimen Fixed Duration Treatment Patients Chronic,lnshr publisher,Negative
7995,CLARITY CLL MRD,chadi nabhan MD MBA FACP,Postive
7996,CLL,DrItirDemiriz,Negative
7998,CLL,Lisa Palacios,Negative
7999,CLL ASHKudos,Lisa Palacios,Negative
8000,RHHBY Issued Press Release December five Genentech,Flash Alert,Negative
8001,CLARITY CLL VincentRK,chadi nabhan MD MBA FACP,Postive
8002,Genentech,Latest News Business Wire,Negative
8003,MCL,Toby Eyre,Negative
8004,two,Genentech,Negative
8005,wwierda LeukemiaMDA MRD two OncoAlert OncoAlert CLL,VJHemOnc,Negative
8007,CLL,Stock Titan,Negative
8008,one one CLL,chadi nabhan MD MBA FACP,Postive
8009,two CLL,Pharmacyclics AbbVie Company,Negative
8010,Regimen Fixed Duration Treatment Patients Chronic,NwokeAgulu,Negative
8011,Impressive CLL,chadi nabhan MD MBA FACP,Negative
8012,CLL,chadi nabhan MD MBA FACP,Negative
8013,CAPTIVATE CLL,chadi nabhan MD MBA FACP,Negative
8014,Fraser et al HELIOS Ibrutinib RB CLL five hundred CLL,Alexander Luchinin,Negative
8015,One Year CLL,Stock Titan,Negative
8016,CLL,chadi nabhan MD MBA FACP,Negative
8017,Today PM ET CLL,Janssen Global,Negative
8018,William Wierda PhD Session six hundred CLL,Lisa Palacios,Negative
8019,CLL Drs Barrientos Moreno Mato CllIreland,CLL Society Inc,Postive
8020,CLL,Anthony Mato,Negative
8021,Don Education Session DukeCancer CLL,Duke Hematologic Malignancies Cellular Therapy,Negative
8022,CLL one pm four pm EST Thompson,Patient Power,Negative
8023,CLL,Adam Kittai,Negative
8024,SEQUOIA BTK,BeiGene,Negative
8025,Seymour MD BTK BTK,OncLive SOSS,Negative
8026,Club Success Mantra association Student Activities Leadership SAL Center Aptitude Quiz Competition Register NCU,THE NORTHCAP UNIV,Postive
8027,CLL Toxicity Notable,Toby Eyre,Postive
8028,Lymphoma Learn BeiGene lymsm cllsm,BeiGene,Negative
8029,Kirsten Fischer five Education Book HallekMichael CLL,Toby Eyre,Postive
8030,today CLL CLL CllSociety,Chaitra Ujjani MD,Postive
8040,OncoAlert Approaches CLL Hematology American Society Hematology CLLsm,Raul Cordoba MD PhD,Negative
8041,CLL LRoekerMD CllSociety,Anthony Mato,Postive
8042,CLL Algorithms CLL,Anthony Mato,Postive
8043,CLL Algorithm,Anthony Mato,Negative
8044,TGTX TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,Mellalta Meets,Negative
8045,MDAnderson CLL,Mark Wildgust,Negative
8046,CLL Susan Brien John Pagel Ian Flinn CLL,Raj Gauba,Postive
8047,MRD CLL,Tiffany De Sadier,Postive
8048,CLL CLL RocheInnovation,Roche,Negative
8049,Doris CLL,Pharmacyclics AbbVie Company,Postive
8050,CLL,Nicola,Negative
8051,Richard Furman CLL Access,WCM Lymphoma,Negative
8052,CONGRESS Symposia MRD CLL MRD PB Excellent NitinJainMD,Lymphoma Hub,Postive
8053,Chronic Lymphocytic Lymphocytic The American Journal Surgical Pathology,Anju,Negative
8054,past three year CLL,CLL Advocates Network,Negative
8056,ASH CLL MediHumdani BldCancerDoc,sganguly,Negative
8058,Attendees Subscribe Insights Newsletter MedEd CLL,Lisa Palacios,Postive
8059,CLL,Eduardo Flavio Oliveira Ribeiro,Postive
8060,one hundred William Wierda PhD six hundred CLL,Lisa Palacios,Negative
8061,today,BeiGene,Negative
8062,CLL year NovantHealth,Alan Skarbnik,Postive
8063,CLL Nicole Lamanna,Patient Power,Postive
8064,CLL Learn,AbbVie US,Negative
8066,ClevelandClinic,OncLive SOSS,Negative
8067,MEI,MEI Pharma,Negative
8069,CLL Weirda,Hayder Saeed MD,Negative
8070,CLL CLLsm,Patient Empowerment Network,Negative
8071,first first Twitter,Danielle Brander,Postive
8072,CLL AML,AbbVie US,Negative
8073,CLL last decade,Cindy Pabon MD,Negative
8074,one FCR CLL Jeremy Abramson one,Hayder Saeed MD,Negative
8075,Jeremy Abramson CLL,Erick Lansigan,Postive
8076,CLL,PeerView,Postive
8077,CLL,Kathleen Hoffman,Negative
8078,CLL,PeerView,Postive
8080,Today John Gribben CLLSociety Peerivew two thousand and twenty CLL Register CLLSociety CLL,CLL Society Inc,Negative
8083,four CLL,Janssen EMEA,Negative
8085,CLL,CLLSA,Postive
8086,TODAY Join CLL,Medscape Education,Postive
8087,Lamanna BTK CLL,Andrew Lipsky,Postive
8088,CLL Review ASHFromHome,chadi nabhan MD MBA FACP,Negative
8089,CLL,chadi nabhan MD MBA FACP,Negative
8090,ASH CLL daily Saturday PatientPower CLL,Michele,Negative
8091,UK CLL Dr one hundred thousand Genomes Project four hundred CLL WGS CLL,Nick,Negative
8092,CLL CLL,CLL Ireland,Negative
8093,five day SMDH,Stephanie,Negative
8094,CLL DukeCancer MayoClinic,ACCC,Postive
8095,OnlineFirst CLL MayoClinic,Blood Cancer Discovery,Negative
8097,More two hundred Saturday Ask Me Anything ASH Anderson CLL Phil Thompson CLL,Andrew Schorr,Negative
8098,PST Mapping Philip Thompson MB MS,Lisa Palacios,Negative
8099,PST Application Individualized Treatment Novel Agents Combinations William Wierda MD PhD,Lisa Palacios,Negative
8103,PeerView,PeerView,Negative
8104,TG Therapeutics TGTherapeutics,Home Journal,Postive
8106,Education Program Session CLL Sunday,Thomas LeBlanc MD MA MHS FAAHPM,Negative
8107,CLL CllSociety LeukaemiaCareUK,CLL Advocates Network,Postive
8108,New Twitter MCThompsonMD CLL Twitter Twitter CLL,Anthony Mato,Negative
8111,CLL,Deirdre,Negative
8112,CLL SLL,Ilera tv,Negative
8113,Leukemia,Medivizor,Negative
8114,Tomorrow John Gribben CLLSociety Peerivew two thousand and twenty CLL Register Peerview CLLSociety CLL,CLL Society Inc,Negative
8117,Philip Thompson MB MS LeukemiaMDA join CLL EndCancer,Lisa Palacios,Negative
8118,Friday seven AM,PeerView,Negative
8119,Five year ago one four CLL San Bernardino,Gregizona,Negative
8120,CLL Jennifer Woyach CLLsm,Patient Empowerment Network,Negative
8121,CME CLL BTKinhibitors CLL CLL,PeerView,Postive
8122,ClevelandClinic,OncLive SOSS,Negative
8123,CME CLL BTKinhibitors CLL CLL,PeerView,Postive
8125,CARTcell CLL,Benlazar Amine,Negative
8126,CLL Anthony Monday PST BTK CLL,Taylor Lab UM,Negative
8127,CLL Watch Pagel CLLsm,Patient Empowerment Network,Postive
8128,TGTX two BTK,InvestorsObserver,Negative
8129,TG Therapeutics Announces Publication two CLL,AlphaBronze,Negative
8130,NFCMonth,AstraZenecaUS,Negative
8131,TGTX TG Therapeutics Announces Publication Phase two,Biotech Tech Stock Focus,Negative
8135,TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,Tina Witte,Negative
8136,TG Therapeutics Announces Publication two,Pharmacutical Daily,Negative
8137,two,Mazeraski,Negative
8138,TGTX TG Therapeutics Announces Publication Phase two,Jodie Insights,Negative
8139,TGTX TG Therapeutics Announces Publication Phase two,OTC Dynamics Inc,Negative
8140,TG Therapeutics Announces Publication two,IMPharma News,Negative
8142,TG Therapeutics Announces Publication two,Stock Market News,Negative
8143,TG Therapeutics Announces Publication two,Crwe World,Negative
8144,TG Therapeutics Announces Publication two,Investor News,Negative
8145,TGTX TG Therapeutics Announces Publication Phase two,Stock Titan,Negative
8147,CLL AML,AbbVie US,Negative
8149,CLL two thousand and twenty CllSociety LLSNatCap,Anthony Mato,Postive
8150,nine DEZ twenty Themen CLL Myelom iNHL aNHL HodgkinLymphom moderiert von Anmeldung,Kompetenznetz Maligne Lymphome,Negative
8151,CLL UK,CLLSA,Negative
8152,ATM CLL Jennifer Brown one four CLL ATM,CLL Society Inc,Negative
8153,Clinical BTK CLL,Anthony Mato,Postive
8155,ClevelandClinic Cleveland Clinic CLL,OncLive SOSS,Negative
8156,TGTX Food amp Drug Administration,MAISA,Postive
8157,umbralisib BCRi intol anthonymatomd two Reasons eighteen AF twelve AE Important Ix CLL,Toby Eyre,Negative
8158,Watch CLL John Pagel CLLsm,Patient Empowerment Network,Negative
8159,Drs Flinn Brien four Friday ASH Meeting Exposition CCO CLL,CCO Education,Negative
8161,Sponsored Medscape,Pharm Exec Magazine,Negative
8162,CLL Treatment Approach,Patient Empowerment Network,Negative
8163,BLA,Targeted Oncology,Negative
8164,CLL HSCT Webinar CLL Saudiblood,Saudi Blood SSBD 'mrD ldm,Negative
8165,TGTX TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,Biotech Tech Stock Focus,Negative
8167,TGTX Initiates Rolling Submission Biologics License Application,Mazeraski,Negative
8168,Top Abstract CLL,Lymphoma Hub,Postive
8169,TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,IMPharma News,Negative
8170,CLL,BSI UK,Postive
8171,TGTX TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,Jodie Insights,Negative
8172,TGTX TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration Leukemia TG Therapeutics,dough,Negative
8173,TGTX Initiates Rolling Submission BLA Ublituximab Combination Umbralisib Treatment Patients Chronic BLA,Bio,Negative
8174,TGTX TG Therapeutics Initiates Rolling Submission Biologics License Application Food Drug Administration,Stock Titan,Negative
8180,German CLL Study Group UniCologne OncoAlert OncoAlert,VJHemOnc,Negative
8182,CLL COVID Access Remote CMOIreland,CLL Ireland,Negative
8184,CLL,cheryta jones,Postive
8185,Covid Vaccines CLL Brian Koffman CllSociety,Shouting people underpants,Postive
8186,CLL CLL,The France Foundation,Negative
8188,BeiGene seven BTK Waldenstrom Hodgkin,BeiGene,Negative
8189,John Burke Manuel Santiago Complete CME,Vindico Medical Education,Postive
8190,CLL Learn LLSusa NFCMonth,AstraZenecaUS,Negative
8191,CLL CLL Bob Susan CLL Watch,Diverse Health Hub,Postive
8192,CLL today Friday December Drs Gribben Tedeschi Thompson,PeerView,Negative
8194,CME CLL BTKinhibitors CLL CLL,PeerView,Postive
8197,del CLL,Lymphoma Hub,Postive
8198,November CLL,CLLSA,Negative
8200,CLL,StressMarq,Negative
8201,Incorporating Shared CLL Care CLL,PRIME Education,Postive
8202,CLL,Kathleen Hoffman,Negative
8203,CLL,CLL Advocates Network,Negative
8204,CLL UKKoeln OncoAlert OncoAlert,VJHemOnc,Negative
8205,CLL six foot,CLL Society Inc,Negative
8206,next week CLL MURANO Fixed Tx,chadi nabhan MD MBA FACP,Postive
8207,CLL Observational two thousand and twenty,chadi nabhan MD MBA FACP,Negative
8208,CLL,chadi nabhan MD MBA FACP,Negative
8209,CLL,Felipe de Galiza,Negative
8210,CLL Pre ASH two thousand and twenty JanRynne MarieKeating IrishCancerSoc,CLL Ireland,Postive
8211,two GIBB,Lymphoma Papers,Negative
8212,NHL CLL,Medscape Oncology,Negative
8213,Australia Drug Deborah Sims CLL Australian CllSociety,CLL Advocates Network,Postive
8214,two thousand and twenty eJHaem Wiley Online,Benlazar Amine,Negative
8215,CLL Australia Australian DonnellyStephen MaryLouMcDonald RoisinShortall,CLL Ireland,Postive
8216,CLL,Patient Power,Negative
8217,Davids,Targeted Oncology,Negative
8218,Leusm Lymsm,VJRegenMed,Negative
8219,Barbara Eichhorst UniklinikUlm Clemens Wendtner von der CLL Daten de prasentieren,medtoday Germany,Negative
8223,CLL Learn CLLAdvocates,HARMONY Alliance,Negative
8225,CLL MayoClinic,chadi nabhan MD MBA FACP,Negative
8226,two GIBB CLL,Benlazar Amine,Negative
8229,CLL December four,PeerView,Negative
8230,CLL John Gribben OncoAlert,VJHemOnc,Negative
8231,BOTH CLL,Chris Cogbill MD,Negative
8232,ErleneSeymour discus kinase BTK BTK,OncLive SOSS,Negative
8233,BloodJournal CLL CLL,UK Chronic Lymphocytic Leukaemia CLL Forum,Negative
8234,New Research Method Analysis past twenty year TME,Frontiers Immunology,Negative
8235,CLLSociety Invest CLL two thousand and twenty,CLL Society Inc,Negative
8237,CLL,CLLSA,Negative
8241,two thousand CLL,CLLSA,Postive
8242,CLL,CLLSA,Postive
8243,four hundred CLL,CLLSA,Postive
8244,CLL CLL,CLLSA,Postive
8245,Global Chronic Lymphocytic Leukemia Treatment Market Expected Experience Immense Growth two thousand and twenty two thousand and twentythree,Depp Gaikwad,Negative
8246,Oncology Neil Dr John Pagel Cancer Institute Watch,Research To Practice,Negative
8247,Ibrutinib first CLL Dr Paul Barr five year first Ireland,Michael Rynne,Negative
8248,CLL Ibrutinib Dr Brian Koffman Paul Barr JanRynne,CLL Ireland,Negative
8249,healthcare,Dr Timos Papagatsias,Postive
8250,CLL,Seema Ali Bhat,Negative
8251,FL two Sent,NoShtickJewishChick,Negative
8252,Davids Lymsm,Targeted Oncology,Negative
8253,CLL CLL,The France Foundation,Negative
8256,MURANO CLL rituximab Undetectable MRD,chadi nabhan MD MBA FACP,Negative
8259,Lymphocytic,Mellalta Meets,Negative
8260,Lymphocytic,The Political Hedge,Negative
8261,Lymphocytic,mednetnews,Negative
8262,Lymphocytic,ArthurPotatoeHammer,Negative
8263,Lymphocytic,IMPharma News,Negative
8264,Inhye Ahn MD Perspective Lindsey Roeker MD,HemOnc Today,Negative
8265,BTK Davids,Targeted Oncology,Postive
8266,Fannie Mae Freddie Mac two thousand Read two thousand MA FannieMae FreddieMac CLL,South Shore REALTORS,Negative
8267,ChronicLymphocyticLeukemia CLL Paolo Caimi UHhospitals Brian Hill ClevelandClinic CLL BTK,Patient Power,Postive
8268,Join Drs Gribben Tedeschi Thompson December four PST CLL BTK CME,PeerView,Negative
8269,tomorrow Wednesday CLL,Saudi Blood SSBD 'mrD ldm,Negative
8270,CLL CLL John Pagel CLL,Diverse Health Hub,Postive
8271,one NEGATIVE CLL one,Mike ForThePeople,Negative
8272,UK CLL UK CLL,UK Chronic Lymphocytic Leukaemia CLL Forum,Negative
8273,CLL,Journal NCCN,Negative
8274,RCT CLL,Anthony Mato,Negative
8275,New Medivizor Comparing,Medivizor,Negative
8281,Seymour,Targeted Oncology,Negative
8283,Global Chronic Lymphocytic Leukemia Treatment Market Research Report two thousand and twenty two thousand and twentythree,Depp Gaikwad,Negative
8284,Lymphoid,Sanjeev Sethi,Negative
8285,CLL,Kathleen Hoffman,Negative
8286,Week eight,UC Davis CLL,Postive
8287,CLL Daniel Catovsky Matutes,Kate Cwynarski,Postive
8289,CLL Jennifer Woyach CLLsm,Patient Empowerment Network,Negative
8290,CLL Robin Foa CLL,VJHemOnc,Negative
8293,CLL AdamKittai Hematologist Susan Leclair,Andrew Schorr,Postive
8294,Leukemia Hematology Blood Antioxidants OxidativeStress ReactiveOxygenSpecies InfectiousDiseases Infections CLL,Gaman,Negative
8295,CLL Experts ClevelandClinic UHhospitals PatientPower,Patient Power,Negative
8296,BreakingData AML NHL CLL Get RapidImpactReport,Breaking Data,Postive
8298,CLL,Alfredo,Postive
8299,CLL couple day ago BloodJournal CIBERONC,Ferran Nadeu,Negative
8300,French,Lymphoma Papers,Negative
8302,one Matt trap January two thousand and seventeen,Just Jen,Negative
8303,CLL,Naveen Pemmaraju MD,Negative
8304,CLL TOMORROW CLL Susan Leclair AdamKittai Register,Patient Power,Negative
8305,UK,Anthony Mato,Postive
8307,CLL,CLL Ireland,Negative
8309,CLL Dimitar Efremov OncoAlert OncoAlert CLL,VJHemOnc,Negative
8311,NovantHealth BTK,OncLive SOSS,Negative
8316,PubMed Memory,Memory,Negative
8318,CLL CLL seventy day Brian Koffman,CLL Society Inc,Negative
8319,five CLL,Talha Badar,Negative
8320,CADTH Venetoclax Venclexta Obinutuzumab Chronic,CADTH,Negative
8321,Jan Burger PhD CLL EndCancer,Lisa Palacios,Negative
8322,five year OncoAlert OncoAlert CLL,VJHemOnc,Negative
8323,CLLsm,Patient Empowerment Network,Negative
8324,two CLL,Journal NCCN,Negative
8325,Join Drs Gribben Tedeschi Thompson Friday December CLL,PeerView,Negative
8326,CLL anthonymatomd CLLsm,Patient Empowerment Network,Negative
8327,Monday Nov CLL Susan Leclair CLL AdamKittai Register,Patient Power,Negative
8328,CLL CLL,The France Foundation,Negative
8339,William Wierda MD MD Anderson Leukemia CLL,Lisa Palacios,Negative
8340,Chronic Lymphocytic,Kristen Fernandes,Negative
8343,Raghuveer Ranganathan Ranganathan,Lymphoma Research Foundation,Negative
8344,CLL,CancerTherapyAdvisor,Negative
8345,CME,Oncology CE,Postive
8346,CLL John Allan WCMCLymphoma Join,Andrew Schorr,Postive
8347,Jeff Folloder CLL,Patient Power,Postive
8348,CLL Watch CLL John Pagel CLLsm,Patient Empowerment Network,Postive
8349,Bill Wierda CLL,Michael Hallek,Negative
8350,CLL,Kathleen Hoffman,Negative
8351,ESH CLL nine Chairs Jennifer Boston Michael Hallek,ESH Haematology,Negative
8352,eight Clonal Chairs Davide John Seymour Live CLL,ESH Haematology,Negative
8353,BTK,Targeted Oncology,Negative
8354,CLL,Sigrid Skanland,Negative
8355,BTK CLL CME,Medscape Education,Negative
8356,Dr Moles PhD CLL yesterday Elaine Willmore UniofNewcastle Maggie Harnett,Michie Lab,Postive
8357,last Day last three Meet The Expert Sessions Seats Access ESHCONFERENCES,ESH Haematology,Negative
8358,Targeted Oncology Case Based Peer Perspective,Targeted Oncology,Negative
8360,WGS UK Richters BloodJournal CLL DVVavoulis Jenny,Toby Eyre,Negative
8361,CLL Panel,Michael Hallek,Postive
8362,The Mithralog Induces Chronic,Biblioteca HUCA,Negative
8363,Diwali Getting CLL SpeakingandListening EYTagteam,Manisha Patel,Postive
8364,Watch CLL John Pagel CLL,Patient Empowerment Network,Negative
8365,CLL Jennifer Woyach CLLsm,Health Content Collective HCC,Negative
8366,UTSWNews,OncLive SOSS,Negative
8368,seven Efficacy Chairs Barbara Cologne Javid Moslehi,ESH Haematology,Negative
8369,CLL Matthew Davids Peter Dreger Peter Hillmen ESHCONFERENCES,ESH Haematology,Negative
8370,December four CLL Friday ASH Meeting Exposition CCO CLL,CCO Education,Postive
8371,December four,PeerView,Negative
8372,six two CLL Dreger Access,ESH Haematology,Negative
8373,CLL lifestyle Join TOMORROW John Allan Register,Patient Power,Postive
8374,November CLL,CLLSA,Negative
8375,CLL Management two thousand and twenty Webinar November two thousand and twenty GMT Health CLL,Saudi Blood SSBD 'mrD ldm,Postive
8376,Arnon Kater CLL,Michael Hallek,Negative
8377,CLL Hypoxia,Michael Hallek,Negative
8378,five Chairs Silvia Deaglio Adrian Wiestner Live,ESH Haematology,Negative
8379,Article Title Bilateral EdoriumJournals Chroniclymphocyticleukemia Chylothorax Chylouseffusion Article URL,EDORIUM JOURNALS,Negative
8384,Check Evaluating,Medivizor,Negative
8385,The ESH Translational Research CLL Access ESHCONFERENCES,ESH Haematology,Negative
8386,Norwegian,Lymphoma Papers,Negative
8387,Method Analysis,Lymphoma Papers,Negative
8388,CLL Check,Francesca Perutelli,Postive
8389,"Ian Flinn MD CLL six thousand, six hundred and ten",CCO Education,Negative
8390,one month habit five hundred CLL,God Nothing,Negative
8399,today Grand Rounds Presentation,Rush Pharmacy,Postive
8400,David Spaner CLL Chronic Lymphocytic Toronto CLL David Spaner,Shouting people underpants,Postive
8401,CLL Learn CAR,Patient Empowerment Network,Postive
8402,tomorrow Register ESHCONFERENCES,ESH Haematology,Negative
8403,two CLL Watch,JanssenUS,Negative
8404,ESH CLL,Sigrid Skanland,Negative
8405,two CLL Watch,Pharmacyclics AbbVie Company,Negative
8406,WALK Leaders Alexey Danilov Davide Agenda Register ESHCONFERENCES,ESH Haematology,Negative
8407,Lindsey Roeker New York CLL,Michael Hallek,Negative
8408,four Outside Clinical Trials Chair,ESH Haematology,Negative
8409,CLL,Gail Williams,Negative
8410,CLL OncoAlert CLL,VJHemOnc,Negative
8411,LeukaemiaCareUK CLL,CLL Ireland,Postive
8412,Bad News CLL seventy day RNA one hundred and,Billy Bostickson,Negative
8413,CLL CLL,Diverse Health Hub,Postive
8421,John Pagel CLL CLL Watch,Diverse Health Hub,Negative
8422,Lymphocytosis AMPath Molpath CLL,Michael Bayerl MD,Negative
8423,Ireland CLL,Gearoid Crotaigh CareCantWait,Negative
8424,CLL two BTK Leukemia,Michael Hallek,Postive
8425,CLL CLL WVCancer,Patient Power,Negative
8426,three CLL Michael Hallek,ESH Haematology,Negative
8427,RELEASED Salud Hematology CLL,Raul Cordoba MD PhD,Negative
8429,"Lunch Learn SatishShanbhagMD CLL six thousand, six hundred and ten",CCO Education,Negative
8430,WALK Leaders Matthew Davids Tedeschi Agenda Access live Register ESHCONFERENCES,ESH Haematology,Negative
8431,BCR CLL Paolo Kostas Hassan Jumaa Andrew Steele Anthony Mato Oppezzo ESHCONFERENCES,ESH Haematology,Negative
8432,today two thousand and CLL Login GenQA CLL,GenQA Genomics Quality Assessment,Negative
8433,CLL First today,Michael Hallek,Postive
8434,two BCR CLL Paolo,ESH Haematology,Negative
8435,first ESH CLL CLL,ESH Haematology,Negative
8436,England CLL,CLL Ireland,Postive
8437,England CLL,Blood Cancer UK,Negative
8438,one CLL Chairs Brown,ESH Haematology,Negative
8440,CLL CLL,AstraZeneca,Negative
8441,Hellenic Group CLL,CLL Advocates Network,Postive
8442,Wednesday CLL Speakers Dominic Pivonka Rob Coster,CLLSA,Negative
8443,Venetoclax Untreated CLL,Cancer Clinical Trials All,Postive
8444,one one one thousand nine hundred,Philip Brooks,Postive
8445,CLL one one one thousand nine hundred,Philip Brooks,Postive
8446,tomorrow CLL,Michael Hallek,Negative
8447,Brown Ghia HallekMichael tomorrow ESHCONFERENCES,ESH Haematology,Postive
8448,BTK tomorrow Translational Research Conference Chronic,Anthony Mato,Negative
8449,Leukemia,Medivizor,Negative
8451,Applying Data Practice four,Medscape Education,Negative
8453,Buen un Federico Paz YouTube,Gimena do Santos,Negative
8454,four year Watch Wait Time Treatment week Link Bio sll,Living Busy Life With Cancer,Postive
8455,obinutuzumab CLL,Benlazar Amine,Postive
8456,two THE LIVE PROGRAMME REGISTER NOW,ESH Haematology,Negative
8457,Leukaemia Care CLLSupport CLL next month Complete CLL,Leukaemia Care,Negative
